"id","description","last_updated"
"319923","HUMMUS, SABRA CLASSIC","2019-04-01"
"319924","HUMMUS, SABRA CLASSIC","2019-04-01"
"319925","HUMMUS, SABRA CLASSIC","2019-04-01"
"319926","Hummus - NFY12141C","2019-04-01"
"319927","Hummus - NFY12141D","2019-04-01"
"319928","Hummus","2019-04-01"
"319929","Hummus","2019-04-01"
"319930","Hummus","2019-04-01"
"319931","Hummus","2019-04-01"
"319932","Hummus","2019-04-01"
"319933","Hummus - NFY12141E","2019-04-01"
"319934","Hummus - NFY12141F","2019-04-01"
"319935","Hummus - NFY12141G","2019-04-01"
"319936","Hummus - NFY12141H","2019-04-01"
"319937","Hummus - NFY121416","2019-04-01"
"319938","Hummus, Sabra Classic - GA, NJ","2019-04-01"
"319939","HUMMUS, SABRA CLASSIC","2019-04-01"
"319940","HUMMUS, SABRA CLASSIC","2019-04-01"
"319941","HUMMUS, SABRA CLASSIC","2019-04-01"
"319942","HUMMUS, SABRA CLASSIC","2019-04-01"
"319943","HUMMUS, SABRA CLASSIC","2019-04-01"
"319944","Hummus - NFY1213ZV","2019-04-01"
"319945","Hummus - NFY1213ZW","2019-04-01"
"319946","Hummus","2019-04-01"
"319947","Hummus","2019-04-01"
"319948","Hummus","2019-04-01"
"319949","Hummus","2019-04-01"
"319950","Hummus","2019-04-01"
"319951","Hummus - NFY1213ZX","2019-04-01"
"319952","Hummus - NFY1213ZY","2019-04-01"
"319953","Hummus - NFY1213ZZ","2019-04-01"
"319954","Hummus - NFY121400","2019-04-01"
"319955","Hummus","2019-04-01"
"319956","Hummus - NFY1213ZP","2019-04-01"
"319957","Hummus, Sabra Classic - KY, CA2","2019-04-01"
"319958","HUMMUS, TRIBE CLASSIC","2019-04-01"
"319959","HUMMUS, TRIBE CLASSIC","2019-04-01"
"319960","HUMMUS, TRIBE CLASSIC","2019-04-01"
"319961","HUMMUS, TRIBE CLASSIC","2019-04-01"
"319962","HUMMUS, TRIBE CLASSIC","2019-04-01"
"319963","HUMMUS, TRIBE CLASSIC","2019-04-01"
"319964","HUMMUS, TRIBE CLASSIC","2019-04-01"
"319965","Hummus - NFY12143C","2019-04-01"
"319966","Hummus - NFY12143D","2019-04-01"
"319967","Hummus","2019-04-01"
"319968","Hummus","2019-04-01"
"319969","Hummus","2019-04-01"
"319970","Hummus","2019-04-01"
"319971","Hummus","2019-04-01"
"319972","Hummus","2019-04-01"
"319973","Hummus - NFY12143E","2019-04-01"
"319974","Hummus - NFY12143F","2019-04-01"
"319975","Hummus - NFY12143G","2019-04-01"
"319976","Hummus - NFY121435","2019-04-01"
"319977","Hummus, Tribe Classic - GA, NJ","2019-04-01"
"319978","HUMMUS, OTHER","2019-04-01"
"319979","HUMMUS, OTHER","2019-04-01"
"319980","HUMMUS, OTHER","2019-04-01"
"319981","Hummus","2019-04-01"
"319982","Hummus","2019-04-01"
"319983","Hummus","2019-04-01"
"319984","HUMMUS, TRIBE CLASSIC","2019-04-01"
"319985","HUMMUS, TRIBE CLASSIC","2019-04-01"
"319986","HUMMUS, TRIBE CLASSIC","2019-04-01"
"319987","HUMMUS, TRIBE CLASSIC","2019-04-01"
"319988","HUMMUS, TRIBE CLASSIC","2019-04-01"
"319989","HUMMUS, TRIBE CLASSIC","2019-04-01"
"319990","HUMMUS, TRIBE CLASSIC","2019-04-01"
"319991","Hummus - NFY12141W","2019-04-01"
"319992","Hummus - NFY12141X","2019-04-01"
"319993","Hummus","2019-04-01"
"319994","Hummus","2019-04-01"
"319995","Hummus","2019-04-01"
"319996","Hummus","2019-04-01"
"319997","Hummus","2019-04-01"
"319998","Hummus","2019-04-01"
"319999","Hummus - NFY12141Y","2019-04-01"
"320000","Hummus - NFY12141Z","2019-04-01"
"320001","Hummus - NFY121420","2019-04-01"
"320002","Hummus - NFY121421","2019-04-01"
"320003","Hummus - NFY12141P","2019-04-01"
"320004","Hummus, Tribe Classic - KY, PA","2019-04-01"
"320005","HUMMUS, OTHER","2019-04-01"
"320006","HUMMUS, OTHER","2019-04-01"
"320007","HUMMUS, OTHER","2019-04-01"
"320008","HUMMUS, OTHER","2019-04-01"
"320009","HUMMUS, OTHER","2019-04-01"
"320010","HUMMUS, OTHER","2019-04-01"
"320011","Hummus - NFY12142M","2019-04-01"
"320012","Hummus - NFY12142N","2019-04-01"
"320013","Hummus","2019-04-01"
"320014","Hummus","2019-04-01"
"320015","Hummus","2019-04-01"
"320016","Hummus","2019-04-01"
"320017","Hummus","2019-04-01"
"320018","Hummus - NFY12142O","2019-04-01"
"320019","Hummus - NFY12142P","2019-04-01"
"320020","Hummus - NFY12142Q","2019-04-01"
"320021","Hummus - NFY12142R","2019-04-01"
"320022","Hummus - NFY12142G","2019-04-01"
"320023","Hummus, Other - AZ, IN","2019-04-01"
"320025","MILK, 2% (WAVE 22E)","2019-04-01"
"320026","MILK, 2% (WAVE 22E)","2019-04-01"
"320027","MILK, 2% ","2019-04-01"
"320028","MILK, 2% ","2019-04-01"
"320029","MILK, 2% ","2019-04-01"
"320030","MILK, 2% (WAVE 22E)","2019-04-01"
"320031","MILK, 2% (WAVE 22E)","2019-04-01"
"320032","MILK, 2% (WAVE 22E)","2019-04-01"
"320033","MILK, 2% ","2019-04-01"
"320034","MILK, 2% ","2019-04-01"
"320035","MILK, 2% ","2019-04-01"
"320036","MILK, 2% (WAVE 22E)","2019-04-01"
"320037","MILK, 2% (WAVE 22E)","2019-04-01"
"320038","MILK, 2% (WAVE 22E)","2019-04-01"
"320039","MILK, 2% ","2019-04-01"
"320040","MILK, 2% ","2019-04-01"
"320041","MILK, 2% ","2019-04-01"
"320042","MILK, 2% (WAVE 22E)","2019-04-01"
"320043","MILK, 2% (WAVE 22E)","2019-04-01"
"320044","MILK, 2% (WAVE 22E)","2019-04-01"
"320045","MILK, 2% ","2019-04-01"
"320046","MILK, 2% ","2019-04-01"
"320047","MILK, 2% ","2019-04-01"
"320048","MILK, 2% ","2019-04-01"
"320049","MILK, 2% ","2019-04-01"
"320050","MILK, 2% ","2019-04-01"
"320051","MILK, 2% ","2019-04-01"
"320052","MILK, 2% ","2019-04-01"
"320053","MILK, 2% ","2019-04-01"
"320054","MILK, 2% ","2019-04-01"
"320055","Milk, 2%","2019-04-01"
"320056","Milk, 2%","2019-04-01"
"320057","Milk, 2%","2019-04-01"
"320058","Milk, 2%","2019-04-01"
"320059","Milk, 2%","2019-04-01"
"320060","MILK, 2% (WAVE 22E)","2019-04-01"
"320061","MILK, 2% (WAVE 22E)","2019-04-01"
"320062","MILK, 2% (WAVE 22E)","2019-04-01"
"320063","MILK, 2% (WAVE 22E)","2019-04-01"
"320064","MILK, 2% ","2019-04-01"
"320065","MILK, 2% ","2019-04-01"
"320066","MILK, 2% ","2019-04-01"
"320067","MILK, 2% ","2019-04-01"
"320068","MILK, 2% ","2019-04-01"
"320069","MILK, 2% ","2019-04-01"
"320070","MILK, 2% ","2019-04-01"
"320071","MILK, 2% ","2019-04-01"
"320072","MILK, 2% ","2019-04-01"
"320073","MILK, 2% ","2019-04-01"
"320074","MILK, 2% ","2019-04-01"
"320075","MILK, 2% ","2019-04-01"
"320076","MILK, 2% ","2019-04-01"
"320077","Milk, 2%","2019-04-01"
"320078","Milk, 2%","2019-04-01"
"320079","Milk, 2%","2019-04-01"
"320080","Milk, 2%","2019-04-01"
"320081","Milk, 2%","2019-04-01"
"320082","Milk, 2%","2019-04-01"
"320083","MILK, 2% (WAVE 22E)","2019-04-01"
"320084","MILK, 2% (WAVE 22E)","2019-04-01"
"320085","MILK, 2% (WAVE 22E)","2019-04-01"
"320086","MILK, 2% (WAVE 22E)","2019-04-01"
"320087","MILK, 2% ","2019-04-01"
"320088","MILK, 2% ","2019-04-01"
"320089","MILK, 2% ","2019-04-01"
"320090","MILK, 2% ","2019-04-01"
"320091","MILK, 2% ","2019-04-01"
"320092","MILK, 2% ","2019-04-01"
"320093","MILK, 2% ","2019-04-01"
"320094","MILK, 2% ","2019-04-01"
"320095","MILK, 2% ","2019-04-01"
"320096","MILK, 2% ","2019-04-01"
"320097","Milk, 2%","2019-04-01"
"320098","Milk, 2%","2019-04-01"
"320099","Milk, 2%","2019-04-01"
"320100","Milk, 2%","2019-04-01"
"320101","Milk, 2%","2019-04-01"
"320102","MILK, 2% (WAVE 22E)","2019-04-01"
"320103","MILK, 2% (WAVE 22E)","2019-04-01"
"320104","MILK, 2% (WAVE 22E)","2019-04-01"
"320105","MILK, 2% (WAVE 22E)","2019-04-01"
"320106","MILK, 2% ","2019-04-01"
"320107","MILK, 2% ","2019-04-01"
"320108","MILK, 2% ","2019-04-01"
"320109","MILK, 2% ","2019-04-01"
"320110","MILK, 2% ","2019-04-01"
"320111","MILK, 2% ","2019-04-01"
"320112","MILK, 2% ","2019-04-01"
"320113","MILK, 2% ","2019-04-01"
"320114","MILK, 2% ","2019-04-01"
"320115","MILK, 2% ","2019-04-01"
"320116","Milk, 2%","2019-04-01"
"320117","Milk, 2%","2019-04-01"
"320118","Milk, 2%","2019-04-01"
"320119","Milk, 2%","2019-04-01"
"320120","Milk, 2%","2019-04-01"
"320121","Milk, 2%","2019-04-01"
"320122","MILK, 2% (WAVE 22E)","2019-04-01"
"320123","MILK, 2% (WAVE 22E)","2019-04-01"
"320124","MILK, 2% (WAVE 22E)","2019-04-01"
"320125","MILK, 2% (WAVE 22E)","2019-04-01"
"320126","MILK, 2% ","2019-04-01"
"320127","MILK, 2% ","2019-04-01"
"320128","MILK, 2% ","2019-04-01"
"320129","MILK, 2% ","2019-04-01"
"320130","MILK, 2% ","2019-04-01"
"320131","MILK, 2% ","2019-04-01"
"320132","MILK, 2% ","2019-04-01"
"320133","MILK, 2% ","2019-04-01"
"320134","MILK, 2% ","2019-04-01"
"320135","MILK, 2% ","2019-04-01"
"320136","Milk, 2%","2019-04-01"
"320137","Milk, 2%","2019-04-01"
"320138","Milk, 2%","2019-04-01"
"320139","Milk, 2%","2019-04-01"
"320140","Milk, 2%","2019-04-01"
"320141","MILK, 2% (WAVE 22E)","2019-04-01"
"320142","MILK, 2% (WAVE 22E)","2019-04-01"
"320143","MILK, 2% (WAVE 22E)","2019-04-01"
"320144","MILK, 2% (WAVE 22E)","2019-04-01"
"320145","MILK, 2% ","2019-04-01"
"320146","MILK, 2% ","2019-04-01"
"320147","MILK, 2% ","2019-04-01"
"320148","MILK, 2% ","2019-04-01"
"320149","MILK, 2% ","2019-04-01"
"320150","MILK, 2% ","2019-04-01"
"320151","MILK, 2% ","2019-04-01"
"320152","MILK, 2% ","2019-04-01"
"320153","MILK, 2% ","2019-04-01"
"320154","MILK, 2% ","2019-04-01"
"320155","MILK, 2% ","2019-04-01"
"320156","MILK, 2% ","2019-04-01"
"320157","MILK, 2% ","2019-04-01"
"320158","Milk, 2%","2019-04-01"
"320159","Milk, 2%","2019-04-01"
"320160","Milk, 2%","2019-04-01"
"320161","Milk, 2%","2019-04-01"
"320162","Milk, 2%","2019-04-01"
"320163","MILK, 2% (WAVE 22E)","2019-04-01"
"320164","MILK, 2% (WAVE 22E)","2019-04-01"
"320165","MILK, 2% (WAVE 22E)","2019-04-01"
"320166","MILK, 2% (WAVE 22E)","2019-04-01"
"320167","MILK, 2% ","2019-04-01"
"320168","MILK, 2% ","2019-04-01"
"320169","MILK, 2% ","2019-04-01"
"320170","MILK, 2% ","2019-04-01"
"320171","MILK, 2% (WAVE 22E)","2019-04-01"
"320172","MILK, 2% (WAVE 22E)","2019-04-01"
"320173","MILK, 2% (WAVE 22E)","2019-04-01"
"320174","MILK, 2% ","2019-04-01"
"320175","MILK, 2% ","2019-04-01"
"320176","MILK, 2% ","2019-04-01"
"320177","MILK, 2% (WAVE 22E)","2019-04-01"
"320178","MILK, 2% (WAVE 22E)","2019-04-01"
"320179","MILK, 2% (WAVE 22E)","2019-04-01"
"320180","MILK, 2% (WAVE 22E)","2019-04-01"
"320181","MILK, 2% ","2019-04-01"
"320182","MILK, 2% ","2019-04-01"
"320183","MILK, 2% ","2019-04-01"
"320184","MILK, 2% (WAVE 22E)","2019-04-01"
"320185","MILK, 2% (WAVE 22E)","2019-04-01"
"320186","MILK, 2% (WAVE 22E)","2019-04-01"
"320187","MILK, 2% ","2019-04-01"
"320188","MILK, 2% ","2019-04-01"
"320189","MILK, 2% ","2019-04-01"
"320190","MILK, 2% (WAVE 22E)","2019-04-01"
"320191","MILK, 2% (WAVE 22E)","2019-04-01"
"320192","MILK, 2% (WAVE 22E)","2019-04-01"
"320193","MILK, 2% ","2019-04-01"
"320194","MILK, 2% ","2019-04-01"
"320195","MILK, 2% ","2019-04-01"
"320196","MILK, 2% (WAVE 22E)","2019-04-01"
"320197","MILK, 2% (WAVE 22E)","2019-04-01"
"320198","MILK, 2% (WAVE 22E)","2019-04-01"
"320199","MILK, 2% ","2019-04-01"
"320200","MILK, 2% ","2019-04-01"
"320201","MILK, 2% ","2019-04-01"
"320202","MILK, 2% (WAVE 22E)","2019-04-01"
"320203","MILK, 2% (WAVE 22E)","2019-04-01"
"320204","MILK, 2% (WAVE 22E)","2019-04-01"
"320205","MILK, 2% ","2019-04-01"
"320206","MILK, 2% ","2019-04-01"
"320207","MILK, 2% ","2019-04-01"
"320208","MILK, 2% (WAVE 22E)","2019-04-01"
"320209","MILK, 2% (WAVE 22E)","2019-04-01"
"320210","MILK, 2% (WAVE 22E)","2019-04-01"
"320211","MILK, 2% (WAVE 22E)","2019-04-01"
"320212","MILK, 2% ","2019-04-01"
"320213","MILK, 2% ","2019-04-01"
"320214","MILK, 2% ","2019-04-01"
"320215","MILK, 2% ","2019-04-01"
"320216","MILK, 2% ","2019-04-01"
"320217","MILK, 2% ","2019-04-01"
"320218","MILK, 2% ","2019-04-01"
"320219","MILK, 2% ","2019-04-01"
"320220","MILK, 2% ","2019-04-01"
"320221","MILK, 2% ","2019-04-01"
"320222","Milk, 2%","2019-04-01"
"320223","Milk, 2%","2019-04-01"
"320224","Milk, 2%","2019-04-01"
"320225","Milk, 2%","2019-04-01"
"320226","Milk, 2%","2019-04-01"
"320227","Milk, 2%","2019-04-01"
"320228","MILK, 2% (WAVE 22E)","2019-04-01"
"320229","MILK, 2% (WAVE 22E)","2019-04-01"
"320230","MILK, 2% (WAVE 22E)","2019-04-01"
"320231","MILK, 2% (WAVE 22E)","2019-04-01"
"320232","MILK, 2% ","2019-04-01"
"320233","MILK, 2% ","2019-04-01"
"320234","MILK, 2% ","2019-04-01"
"320235","MILK, 2% ","2019-04-01"
"320236","MILK, 2% ","2019-04-01"
"320237","MILK, 2% ","2019-04-01"
"320238","MILK, 2% ","2019-04-01"
"320239","MILK, 2% ","2019-04-01"
"320240","MILK, 2% ","2019-04-01"
"320241","MILK, 2% ","2019-04-01"
"320242","MILK, 2% ","2019-04-01"
"320243","MILK, 2% ","2019-04-01"
"320244","MILK, 2% ","2019-04-01"
"320245","Milk, 2%","2019-04-01"
"320246","Milk, 2%","2019-04-01"
"320247","Milk, 2%","2019-04-01"
"320248","Milk, 2%","2019-04-01"
"320249","Milk, 2%","2019-04-01"
"320250","Milk, 2%","2019-04-01"
"320251","MILK, 2% (WAVE 22E)","2019-04-01"
"320252","MILK, 2% (WAVE 22E)","2019-04-01"
"320253","MILK, 2% (WAVE 22E)","2019-04-01"
"320254","MILK, 2% (WAVE 22E)","2019-04-01"
"320255","MILK, 2% ","2019-04-01"
"320256","MILK, 2% ","2019-04-01"
"320257","MILK, 2% ","2019-04-01"
"320258","MILK, 2% ","2019-04-01"
"320259","MILK, 2% ","2019-04-01"
"320260","MILK, 2% ","2019-04-01"
"320261","MILK, 2% ","2019-04-01"
"320262","MILK, 2% ","2019-04-01"
"320263","MILK, 2% ","2019-04-01"
"320264","MILK, 2% ","2019-04-01"
"320265","MILK, 2% ","2019-04-01"
"320266","MILK, 2% ","2019-04-01"
"320267","MILK, 2% ","2019-04-01"
"320268","Milk, 2%","2019-04-01"
"320269","Milk, 2%","2019-04-01"
"320270","Milk, 2%","2019-04-01"
"320271","Milk, 2%","2019-04-01"
"320272","Milk, 2%","2019-04-01"
"320273","MILK, 2% (WAVE 22E)","2019-04-01"
"320274","MILK, 2% (WAVE 22E)","2019-04-01"
"320275","MILK, 2% (WAVE 22E)","2019-04-01"
"320276","MILK, 2% (WAVE 22E)","2019-04-01"
"320277","MILK, 2% ","2019-04-01"
"320278","MILK, 2% ","2019-04-01"
"320279","MILK, 2% ","2019-04-01"
"320280","MILK, 2% ","2019-04-01"
"320281","MILK, 2% ","2019-04-01"
"320282","MILK, 2% ","2019-04-01"
"320283","MILK, 2% ","2019-04-01"
"320284","MILK, 2% ","2019-04-01"
"320285","MILK, 2% ","2019-04-01"
"320286","MILK, 2% ","2019-04-01"
"320287","MILK, 2% ","2019-04-01"
"320288","MILK, 2% ","2019-04-01"
"320289","MILK, 2% ","2019-04-01"
"320290","Milk, 2%","2019-04-01"
"320291","Milk, 2%","2019-04-01"
"320292","Milk, 2%","2019-04-01"
"320293","Milk, 2%","2019-04-01"
"320294","Milk, 2%","2019-04-01"
"320295","Milk, 2%","2019-04-01"
"320296","MILK, 2% (WAVE 22E)","2019-04-01"
"320297","MILK, 2% (WAVE 22E)","2019-04-01"
"320298","MILK, 2% (WAVE 22E)","2019-04-01"
"320299","MILK, 2% (WAVE 22E)","2019-04-01"
"320300","MILK, 2% ","2019-04-01"
"320301","MILK, 2% ","2019-04-01"
"320302","MILK, 2% ","2019-04-01"
"320303","MILK, 2% ","2019-04-01"
"320304","MILK, 2% ","2019-04-01"
"320305","MILK, 2% ","2019-04-01"
"320306","MILK, 2% (WAVE 22E)","2019-04-01"
"320307","MILK, 2% (WAVE 22E)","2019-04-01"
"320308","MILK, 2% (WAVE 22E)","2019-04-01"
"320309","MILK, 2% ","2019-04-01"
"320310","MILK, 2% ","2019-04-01"
"320311","MILK, 2% ","2019-04-01"
"320312","MILK, 2% (WAVE 22E)","2019-04-01"
"320313","MILK, 2% (WAVE 22E)","2019-04-01"
"320314","MILK, 2% (WAVE 22E)","2019-04-01"
"320315","MILK, 2% ","2019-04-01"
"320316","MILK, 2% ","2019-04-01"
"320317","MILK, 2% ","2019-04-01"
"320318","MILK, 2% ","2019-04-01"
"320319","MILK, 2% ","2019-04-01"
"320320","MILK, 2% ","2019-04-01"
"320321","MILK, 2% ","2019-04-01"
"320322","MILK, 2% ","2019-04-01"
"320323","MILK, 2% ","2019-04-01"
"320324","MILK, 2% ","2019-04-01"
"320325","Milk, 2%","2019-04-01"
"320326","Milk, 2%","2019-04-01"
"320327","Milk, 2%","2019-04-01"
"320328","Milk, 2%","2019-04-01"
"320329","Milk, 2%","2019-04-01"
"320330","MILK, 2% (WAVE 22E)","2019-04-01"
"320331","MILK, 2% (WAVE 22E)","2019-04-01"
"320332","MILK, 2% (WAVE 22E)","2019-04-01"
"320333","MILK, 2% (WAVE 22E)","2019-04-01"
"320334","MILK, 2% ","2019-04-01"
"320335","MILK, 2% ","2019-04-01"
"320336","MILK, 2% ","2019-04-01"
"320337","MILK, 2% ","2019-04-01"
"320338","MILK, 2% ","2019-04-01"
"320339","MILK, 2% ","2019-04-01"
"320340","MILK, 2% ","2019-04-01"
"320341","MILK, 2% ","2019-04-01"
"320342","MILK, 2% ","2019-04-01"
"320343","MILK, 2% ","2019-04-01"
"320344","Milk, 2%","2019-04-01"
"320345","Milk, 2%","2019-04-01"
"320346","Milk, 2%","2019-04-01"
"320347","Milk, 2%","2019-04-01"
"320348","Milk, 2%","2019-04-01"
"320349","Milk, 2%","2019-04-01"
"320350","MILK, 2% (WAVE 22E)","2019-04-01"
"320351","MILK, 2% (WAVE 22E)","2019-04-01"
"320353","Beef, Eye of Round roast/steak, lean only, raw, animal 5, select","2019-04-01"
"320354","Beef, eye of round roast, raw (ER37-R-5)","2019-04-01"
"320355","Beef, eye of round steak, raw (ES36-R-5) ","2019-04-01"
"320356","Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 5, select","2019-04-01"
"320357","Beef,  Eye of Round roast/steak, select, raw, comp13, lean (36BRERS/37BRERRS)","2019-04-01"
"320358","Beef, eye of round roast, raw (ER37-R-10)","2019-04-01"
"320359","Beef, eye of round roast, raw (ER37-R-11)","2019-04-01"
"320360","Beef, eye of round roast, raw (ER37-R-16)","2019-04-01"
"320361","Beef, eye of round roast, raw (ER37-R-17)","2019-04-01"
"320362","Beef, eye of round roast, raw (ER37-R-18)","2019-04-01"
"320363","Beef, eye of round roast, raw (ER37-R-22)","2019-04-01"
"320364","Beef, eye of round roast, raw (ER37-R-23)","2019-04-01"
"320365","Beef, eye of round roast, raw (ER37-R-28)","2019-04-01"
"320366","Beef, eye of round roast, raw (ER37-R-29)","2019-04-01"
"320367","Beef, eye of round roast, raw (ER37-R-35)","2019-04-01"
"320368","Beef, eye of round roast, raw (ER37-R-36)","2019-04-01"
"320369","Beef, eye of round steak, raw (ES36-R-10) ","2019-04-01"
"320370","Beef, eye of round steak, raw (ES36-R-11) ","2019-04-01"
"320371","Beef, eye of round steak, raw (ES36-R-16) ","2019-04-01"
"320372","Beef, eye of round steak, raw (ES36-R-17) ","2019-04-01"
"320373","Beef, eye of round steak, raw (ES36-R-18) ","2019-04-01"
"320374","Beef, eye of round steak, raw (ES36-R-22) ","2019-04-01"
"320375","Beef, eye of round steak, raw (ES36-R-23) ","2019-04-01"
"320376","Beef, eye of round steak, raw (ES36-R-28) ","2019-04-01"
"320377","Beef, eye of round steak, raw (ES36-R-29) ","2019-04-01"
"320378","Beef, eye of round steak, raw (ES36-R-35) ","2019-04-01"
"320379","Beef, eye of round steak, raw (ES36-R-36) ","2019-04-01"
"320380","Se - Beef,  Eye of Round roast/steak, select, raw, comp13, lean","2019-04-01"
"320381","Minerals - Beef,  Eye of Round roast/steak, select, raw, comp13, lean","2019-04-01"
"320382","Beef, Eye of Round roast/steak, lean only, raw, animal 10, select","2019-04-01"
"320383","Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 10, select","2019-04-01"
"320384","Beef, Eye of Round roast/steak, select, raw, comp5, lean (36BRERS/37BRERRS)","2019-04-01"
"320385","B12, B6, B3, B2 - Beef, Eye of Round roast/steak, select, raw, comp5, lean","2019-04-01"
"320386","FA - Beef, Eye of Round roast/steak, select, raw, comp5, lean","2019-04-01"
"320387","Choles, FA - Beef, Eye of Round roast/steak, select, raw, comp5, lean","2019-04-01"
"320388","Beef, Eye of Round roast/steak, lean only, raw, animal 11, select","2019-04-01"
"320389","Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 11, select","2019-04-01"
"320390","Beef, Eye of Round roast/steak, lean only, raw, animal 16, select","2019-04-01"
"320391","Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 16, select","2019-04-01"
"320392","Beef, Eye of Round roast/steak, lean only, raw, animal 17, select","2019-04-01"
"320393","Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 17, select","2019-04-01"
"320394","Beef, Eye of Round roast/steak, lean only, raw, animal 18, select","2019-04-01"
"320395","Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 18, select","2019-04-01"
"320396","Beef, Eye of Round roast/steak, select, raw, comp6, lean (36BRERS/37BRERRS)","2019-04-01"
"320397","B12, B6, B3, B2 - Beef, Eye of Round roast/steak, select, raw, comp6, lean","2019-04-01"
"320398","Choles, FA - Beef, Eye of Round roast/steak, select, raw, comp6, lean","2019-04-01"
"320399","FA - Beef, Eye of Round roast/steak, select, raw, comp6, lean","2019-04-01"
"320400","Beef, Eye of Round roast/steak, lean only, raw, animal 22, select","2019-04-01"
"320401","Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 22, select","2019-04-01"
"320402","Beef, Eye of Round roast/steak, lean only, raw, animal 23, select","2019-04-01"
"320403","Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 23, select","2019-04-01"
"320404","Beef, Eye of Round roast/steak, lean only, raw, animal 28, select","2019-04-01"
"320405","Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 28, select","2019-04-01"
"320406","Beef, Eye of Round roast/steak, lean only, raw, animal 29, select","2019-04-01"
"320407","Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 29, select","2019-04-01"
"320408","Beef, Eye of Round roast/steak, lean only, raw, animal 35, select","2019-04-01"
"320409","Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 35, select","2019-04-01"
"320410","Beef, Eye of Round roast/steak, lean only, raw, animal 36, select","2019-04-01"
"320411","Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 36, select","2019-04-01"
"320413","TOMATOES, GRAPE","2019-04-01"
"320414","TOMATOES, GRAPE","2019-04-01"
"320415","TOMATOES, GRAPE","2019-04-01"
"320416","TOMATOES, GRAPE","2019-04-01"
"320417","TOMATOES, GRAPE","2019-04-01"
"320418","TOMATOES, GRAPE","2019-04-01"
"320419","TOMATOES, GRAPE","2019-04-01"
"320420","TOMATOES, GRAPE","2019-04-01"
"320421","TOMATOES, GRAPE","2019-04-01"
"320422","TOMATOES, GRAPE","2019-04-01"
"320423","TOMATOES, GRAPE","2019-04-01"
"320424","TOMATOES, GRAPE","2019-04-01"
"320425","TOMATOES, GRAPE","2019-04-01"
"320426","TOMATOES, GRAPE","2019-04-01"
"320427","TOMATOES, GRAPE","2019-04-01"
"320428","TOMATOES, GRAPE","2019-04-01"
"320429","TOMATOES, GRAPE","2019-04-01"
