"id","fdc_id","fdc_of_input_food","seq_num","amount","sr_code","sr_description","unit","portion_code","portion_description","gram_weight","retention_code","survey_flag"
"78529","1097627","","2","16","14557","Beverages, chocolate-flavor beverage mix for milk, powder, with added nutrients","GM","0","NONE","16","0",""
"78528","1097627","","1","122","16139","Soymilk, original and vanilla, with added calcium, vitamins A and D","GM","0","NONE","122","0",""
"78530","1097627","1097548","3","122","11350000","Almond milk, sweetened","GM","0","NONE","122","0",""
"78531","1097628","1097511","1","1","11100000","Milk, NFS","C","10205","1 cup","244","0",""
"78532","1097628","","2","11","14063","Beverages, chocolate powder, no sugar added","GM","0","NONE","11","0",""
"78534","1097629","","2","11","14063","Beverages, chocolate powder, no sugar added","GM","0","NONE","11","0",""
"78533","1097629","","1","8","1077","Milk, whole, 3.25% milkfat, with added vitamin D","","30000","1 fl oz","244","0",""
"78535","1097630","","1","8","1079","Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D","","30000","1 fl oz","244","0",""
"78536","1097630","","2","11","14063","Beverages, chocolate powder, no sugar added","GM","0","NONE","11","0",""
"78537","1097631","","1","8","1082","Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D","","30000","1 fl oz","244","0",""
"78538","1097631","","2","11","14063","Beverages, chocolate powder, no sugar added","GM","0","NONE","11","0",""
"78539","1097632","","1","8","1085","Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)","","30000","1 fl oz","244","0",""
"78540","1097632","","2","11","14063","Beverages, chocolate powder, no sugar added","GM","0","NONE","11","0",""
"78543","1097633","1097548","3","122","11350000","Almond milk, sweetened","GM","0","NONE","122","0",""
"78542","1097633","","2","11","14063","Beverages, chocolate powder, no sugar added","GM","0","NONE","11","0",""
"78541","1097633","","1","122","16139","Soymilk, original and vanilla, with added calcium, vitamins A and D","GM","0","NONE","122","0",""
"78544","1097634","1097511","1","8","11100000","Milk, NFS","","30000","1 fl oz","244","0",""
"78545","1097634","","2","16","14557","Beverages, chocolate-flavor beverage mix for milk, powder, with added nutrients","GM","0","NONE","16","0",""
"78547","1097635","","2","16","14557","Beverages, chocolate-flavor beverage mix for milk, powder, with added nutrients","GM","0","NONE","16","0",""
"78546","1097635","","1","8","1077","Milk, whole, 3.25% milkfat, with added vitamin D","","30000","1 fl oz","244","0",""
"78549","1097636","","2","16","14557","Beverages, chocolate-flavor beverage mix for milk, powder, with added nutrients","GM","0","NONE","16","0",""
"78548","1097636","","1","8","1079","Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D","","30000","1 fl oz","244","0",""
"78550","1097637","","1","8","1082","Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D","","30000","1 fl oz","244","0",""
"78551","1097637","","2","16","14557","Beverages, chocolate-flavor beverage mix for milk, powder, with added nutrients","GM","0","NONE","16","0",""
"78553","1097638","","2","16","14557","Beverages, chocolate-flavor beverage mix for milk, powder, with added nutrients","GM","0","NONE","16","0",""
"78552","1097638","","1","8","1085","Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)","","30000","1 fl oz","244","0",""
"78555","1097639","","2","16","14557","Beverages, chocolate-flavor beverage mix for milk, powder, with added nutrients","GM","0","NONE","16","0",""
"78556","1097639","1097548","3","122","11350000","Almond milk, sweetened","GM","0","NONE","122","0",""
"78554","1097639","","1","122","16139","Soymilk, original and vanilla, with added calcium, vitamins A and D","GM","0","NONE","122","0",""
"78557","1097640","1097511","1","8","11100000","Milk, NFS","","30000","1 fl oz","244","0",""
"78558","1097640","","2","11","14063","Beverages, chocolate powder, no sugar added","GM","0","NONE","11","0",""
"78559","1097641","","1","8","1077","Milk, whole, 3.25% milkfat, with added vitamin D","","30000","1 fl oz","244","0",""
"78560","1097641","","2","11","14063","Beverages, chocolate powder, no sugar added","GM","0","NONE","11","0",""
"78562","1097642","","2","11","14063","Beverages, chocolate powder, no sugar added","GM","0","NONE","11","0",""
"78561","1097642","","1","8","1079","Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D","","30000","1 fl oz","244","0",""
"78563","1097643","","1","8","1082","Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D","","30000","1 fl oz","244","0",""
"78564","1097643","","2","11","14063","Beverages, chocolate powder, no sugar added","GM","0","NONE","11","0",""
"78566","1097644","","2","11","14063","Beverages, chocolate powder, no sugar added","GM","0","NONE","11","0",""
