"id","fdc_id","seq_num","amount","measure_unit_id","portion_description","modifier","gram_weight","data_points","footnote","min_year_acquired"
"253781","1097534","3","","9999","Guideline amount per fl oz of beverage","63480","2.5","","",""
"241041","1097534","2","","9999","1 fl oz","30000","30.5","","",""
"237094","1097534","1","","9999","1 cup","10205","244","","",""
"260297","1097535","5","","9999","Quantity not specified","90000","244","","",""
"254032","1097535","4","","9999","Guideline amount per cup of hot cereal","63546","61","","",""
"253782","1097535","3","","9999","Guideline amount per fl oz of beverage","63480","2.5","","",""
"241042","1097535","2","","9999","1 fl oz","30000","30.5","","",""
"237095","1097535","1","","9999","1 cup","10205","244","","",""
"267333","1097536","6","","9999","Quantity not specified, if in beverage","90005","16","","",""
"267328","1097536","5","","9999","Quantity not specified, as a drink or on cereal","90002","126","","",""
"260298","1097536","3","","9999","Quantity not specified","90000","16","","",""
"253783","1097536","4","","9999","Guideline amount per fl oz of beverage","63480","2.6","","",""
"241043","1097536","2","","9999","1 fl oz","30000","31.5","","",""
"237096","1097536","1","","9999","1 cup","10205","252","","",""
"267334","1097537","6","","9999","Quantity not specified, if in beverage","90005","16","","",""
"267329","1097537","5","","9999","Quantity not specified, as a drink or on cereal","90002","126","","",""
"260299","1097537","3","","9999","Quantity not specified","90000","16","","",""
"253784","1097537","4","","9999","Guideline amount per fl oz of beverage","63480","2.6","","",""
"241044","1097537","2","","9999","1 fl oz","30000","31.5","","",""
"237097","1097537","1","","9999","1 cup","10205","252","","",""
"267330","1097538","7","","9999","Quantity not specified, as a drink or on cereal","90002","126","","",""
"267335","1097538","6","","9999","Quantity not specified, if in beverage","90005","16","","",""
"260300","1097538","8","","9999","Quantity not specified","90000","16","","",""
"241045","1097538","2","","9999","1 fl oz","30000","31.5","","",""
"237098","1097538","1","","9999","1 cup","10205","252","","",""
"267336","1097539","6","","9999","Quantity not specified, if in beverage","90005","16","","",""
"267331","1097539","5","","9999","Quantity not specified, as a drink or on cereal","90002","126","","",""
"260301","1097539","3","","9999","Quantity not specified","90000","16","","",""
"253785","1097539","4","","9999","Guideline amount per fl oz of beverage","63480","2.6","","",""
"241046","1097539","2","","9999","1 fl oz","30000","31.5","","",""
"237099","1097539","1","","9999","1 cup","10205","252","","",""
"260302","1097540","3","","9999","Quantity not specified","90000","19","","",""
"241047","1097540","2","","9999","1 fl oz","30000","38","","",""
"237100","1097540","1","","9999","1 cup","10205","304","","",""
"260303","1097541","5","","9999","Quantity not specified","90000","244","","",""
"254033","1097541","4","","9999","Guideline amount per cup of hot cereal","63546","61","","",""
"253786","1097541","3","","9999","Guideline amount per fl oz of beverage","63480","2.5","","",""
"241048","1097541","2","","9999","1 fl oz","30000","30.5","","",""
"237101","1097541","1","","9999","1 cup","10205","244","","",""
"260304","1097542","5","","9999","Quantity not specified","90000","244","","",""
"254034","1097542","4","","9999","Guideline amount per cup of hot cereal","63546","61","","",""
"253787","1097542","3","","9999","Guideline amount per fl oz of beverage","63480","2.5","","",""
"241049","1097542","2","","9999","1 fl oz","30000","30.5","","",""
"237102","1097542","1","","9999","1 cup","10205","244","","",""
"260305","1097543","3","","9999","Quantity not specified","90000","244","","",""
"241050","1097543","2","","9999","1 fl oz","30000","30.5","","",""
"237103","1097543","1","","9999","1 cup","10205","244","","",""
"260306","1097544","3","","9999","Quantity not specified","90000","244","","",""
"241051","1097544","2","","9999","1 fl oz","30000","30.5","","",""
"237104","1097544","1","","9999","1 cup","10205","244","","",""
"260307","1097545","3","","9999","Quantity not specified","90000","244","","",""
"241052","1097545","2","","9999","1 fl oz","30000","30.5","","",""
"237105","1097545","1","","9999","1 cup","10205","244","","",""
