"id","fdc_id","seq_num","food_attribute_type_id","name","value"
"966716","1097576","4","1001","","light, NFS"
"985104","1097576","","999","WWEIA Category number","1820"
"993295","1097576","","999","WWEIA Category description","Yogurt, regular"
"985105","1097577","","999","WWEIA Category number","1822"
"993296","1097577","","999","WWEIA Category description","Yogurt, Greek"
"985106","1097578","","999","WWEIA Category number","1822"
"993297","1097578","","999","WWEIA Category description","Yogurt, Greek"
"966719","1097579","3","1001","","99% fat free"
"966718","1097579","2","1001","","2% fat"
"966717","1097579","1","1001","","1% fat"
"966720","1097579","4","1001","","light"
"966721","1097579","5","1001","","Chobani Kids Greek Yogurt Tubes"
"985107","1097579","","999","WWEIA Category number","1822"
"993298","1097579","","999","WWEIA Category description","Yogurt, Greek"
"966722","1097580","1","1001","","0% fat"
"966723","1097580","2","1001","","fat free"
"985108","1097580","","999","WWEIA Category number","1822"
"993299","1097580","","999","WWEIA Category description","Yogurt, Greek"
"966724","1097581","1","1001","","all types"
"966725","1097581","2","1001","","with granola"
"985109","1097581","","999","WWEIA Category number","1822"
"993300","1097581","","999","WWEIA Category description","Yogurt, Greek"
"966726","1097582","1","1001","","all types and flavors"
"985110","1097582","","999","WWEIA Category number","1820"
"993301","1097582","","999","WWEIA Category description","Yogurt, regular"
"966727","1097583","1","1001","","jalapeno dip"
"966729","1097583","3","1001","","greek yogurt based"
"966728","1097583","2","1001","","Southwest dip"
"966730","1097583","4","1001","","regular or light"
"985111","1097583","","999","WWEIA Category number","8412"
"993302","1097583","","999","WWEIA Category description","Dips, gravies, other sauces"
"966731","1097584","1","1001","","cucumber dill dip"
"966733","1097584","3","1001","","regular or light"
"966732","1097584","2","1001","","greek yogurt based"
"985112","1097584","","999","WWEIA Category number","8412"
"993303","1097584","","999","WWEIA Category description","Dips, gravies, other sauces"
"966735","1097585","2","1001","","toasted onion dip"
"966736","1097585","3","1001","","green onion dip"
"966737","1097585","4","1001","","greek yogurt based"
"966738","1097585","5","1001","","regular or light"
"966734","1097585","1","1001","","French onion dip"
"985113","1097585","","999","WWEIA Category number","8412"
