"fdc_id","food_code","wweia_category_number","start_date","end_date"
"1097893","12210260","8008","2017-01-01","2018-12-31"
"1097894","12210270","8008","2017-01-01","2018-12-31"
"1097895","12210280","8008","2017-01-01","2018-12-31"
"1097896","12210310","8008","2017-01-01","2018-12-31"
"1097897","12210400","8008","2017-01-01","2018-12-31"
"1097898","12210420","8008","2017-01-01","2018-12-31"
"1097899","12210430","8008","2017-01-01","2018-12-31"
"1097900","12210440","8008","2017-01-01","2018-12-31"
"1097901","12210505","8008","2017-01-01","2018-12-31"
"1097902","12210520","8008","2017-01-01","2018-12-31"
"1097903","12220200","8006","2017-01-01","2018-12-31"
"1097904","12220270","8006","2017-01-01","2018-12-31"
"1097905","12220280","8006","2017-01-01","2018-12-31"
"1097906","12310100","8006","2017-01-01","2018-12-31"
"1097907","12310350","8006","2017-01-01","2018-12-31"
"1097908","12310370","8006","2017-01-01","2018-12-31"
"1097909","12320100","8006","2017-01-01","2018-12-31"
"1097910","12350010","8412","2017-01-01","2018-12-31"
"1097911","12350200","8412","2017-01-01","2018-12-31"
"1097912","12350205","8412","2017-01-01","2018-12-31"
"1097913","12350210","8412","2017-01-01","2018-12-31"
"1097914","12350215","8412","2017-01-01","2018-12-31"
"1097915","12350220","8412","2017-01-01","2018-12-31"
"1097916","12350225","8412","2017-01-01","2018-12-31"
"1097917","12350230","8412","2017-01-01","2018-12-31"
"1097918","12350235","8412","2017-01-01","2018-12-31"
"1097919","12350240","8412","2017-01-01","2018-12-31"
"1097920","12350245","8412","2017-01-01","2018-12-31"
"1097921","12350250","8412","2017-01-01","2018-12-31"
"1097922","12350255","8412","2017-01-01","2018-12-31"
"1097923","13110000","5802","2017-01-01","2018-12-31"
"1097924","13110100","5802","2017-01-01","2018-12-31"
"1097925","13110102","5802","2017-01-01","2018-12-31"
"1097926","13110110","5802","2017-01-01","2018-12-31"
"1097927","13110112","5802","2017-01-01","2018-12-31"
"1097928","13110200","5802","2017-01-01","2018-12-31"
"1097929","13110210","5802","2017-01-01","2018-12-31"
"1097930","13110460","5802","2017-01-01","2018-12-31"
"1097931","13110470","5802","2017-01-01","2018-12-31"
"1097932","13120050","5802","2017-01-01","2018-12-31"
"1097933","13120100","5802","2017-01-01","2018-12-31"
"1097934","13120110","5802","2017-01-01","2018-12-31"
"1097935","13120140","5802","2017-01-01","2018-12-31"
"1097936","13120500","5802","2017-01-01","2018-12-31"
"1097937","13120510","5802","2017-01-01","2018-12-31"
"1097938","13120550","5802","2017-01-01","2018-12-31"
"1097939","13120730","5802","2017-01-01","2018-12-31"
"1097940","13120735","5802","2017-01-01","2018-12-31"
"1097941","13120740","5802","2017-01-01","2018-12-31"
"1097942","13120770","5802","2017-01-01","2018-12-31"
"1097943","13120775","5802","2017-01-01","2018-12-31"
"1097944","13120782","5802","2017-01-01","2018-12-31"
"1097945","13120784","5802","2017-01-01","2018-12-31"
